InBits,WeightBits,DSPCount,Model,A,B,C,D,R2
1,2,0,LC,82.6482257131132,-6.97750129064036,7.61507464517551,56.0548793951329,0.998727479387796
1,3,0,LC,135.737675891975,-2.76723261522253,14.7941978055843,32.2203021808154,0.998635361732546
1,4,0,LC,179.436084215499,-1.95137373679776,14.3621436806055,44.1906611983527,0.999240560593567
1,5,0,LC,218.561190081323,-0.626214172966523,16.669717863788,45.546716479281,0.999335685617331
1,6,0,LC,259.231948490919,0.291453594350026,17.5392260481277,47.4117212369904,0.999396459616501
1,7,0,LC,302.219834426456,-1.44795143766632,16.7642873722927,48.5231424498554,0.999529716458432
1,8,0,LC,337.976221257955,2.91139760097634,22.4361923392364,44.4794359417961,0.999399235189732
2,2,0,LC,90.1367060499576,-8.29549908157784,14.3103593614976,23.9937933298849,0.998889097851301
2,3,0,LC,156.70556868907,-7.74219825426421,12.5979949906778,23.9808724030782,0.99944572908474
2,4,0,LC,196.941120235342,-8.01389015330997,13.6697339994873,26.0037559716599,0.999637711815225
2,5,0,LC,239.750602633613,-4.72292574982637,18.6813277308315,11.5569329067617,0.999586118531747
2,6,0,LC,284.567069782161,-6.86558191162796,17.3092706012049,19.5740443293873,0.999756593300748
2,7,0,LC,329.002789048292,-11.3906236612397,15.3535300303724,33.4277334225672,0.999835785500391
2,8,0,LC,371.227715705976,-7.26169639147339,19.5735655451505,19.1125072414494,0.999860856177379
3,2,0,LC,192.651983720035,0.442207156085698,9.55382268940423,63.0563794596774,0.996444378872184
3,3,0,LC,324.0663709772,-14.6325499871733,0.849621078782764,82.8733816742458,0.994221138320162
3,4,0,LC,391.429311265446,-11.779345387772,-2.10983644495756,131.123388834811,0.993511815428932
3,5,0,LC,478.571953402934,-27.9376617771555,-23.7146041330452,117.819285232637,0.99644203566188
3,6,0,LC,548.180103216755,-15.8865959139192,-18.8523292664595,70.5908864866202,0.996863187762853
3,7,0,LC,575.395845317993,66.4633319006843,15.1736767282706,95.5277724512622,0.99730118052138
3,8,0,LC,43.7497196316951,-37.4868542925701,123.031162697779,104.997212389201,0.819999339147472
4,2,0,LC,242.476962421623,-11.9330933000066,14.6471737655724,61.3053201599313,0.99606312281753
4,3,0,LC,408.496485705672,-37.0022410220343,-11.1367610966504,151.035233319621,0.989879676413902
4,4,0,LC,587.240875912409,-26.3310865085741,-4.92438794398077,93.1234240212375,0.995808164898537
4,5,0,LC,630.505680137668,21.970335565056,53.3259256271678,33.068739748865,0.996134908757699
4,6,0,LC,737.522722289223,31.0924240763073,38.1598234842669,33.6673610349737,0.992114940303538
4,7,0,LC,36.3053850200866,-9.74041265541811,141.869164545087,65.8811022532813,0.783894348799071
4,8,0,LC,36.4829588967576,-3.79140670800945,148.08430262781,48.8947230460339,0.786791117016305
5,2,0,LC,281.760326285712,9.99646722698061,20.0982174748998,51.4075782566676,0.994657568542371
5,3,0,LC,501.298854430053,-41.4088037810355,-46.071011138895,210.182912774998,0.988761371088635
5,4,0,LC,635.160283687943,55.5708140610546,20.1142923219242,87.6581560283677,0.993723948291787
5,5,0,LC,789.928571428571,157.966666666667,151.533333333333,-161.714285714285,0.999252497654243
5,6,0,LC,43.2878843861627,-35.0504433626025,136.636640269256,56.4280482971627,0.817821160030423
5,7,0,LC,44.2890452695247,-31.4373442125324,142.341371098646,37.3404485428541,0.818198295032463
5,8,0,LC,45.5480387687438,-27.5472271382111,154.396466495712,-23.37902056932,0.829726784368387
6,2,0,LC,310.822790905471,30.7733849874506,36.8392028415751,33.1994892411407,0.996655858378024
6,3,0,LC,539.772552852452,-26.2057890933958,10.5933390104962,96.4559968259505,0.99645944495043
6,4,0,LC,714.378434065934,94.0339972527474,106.801854395604,-71.7252747252754,0.997990434688618
6,5,0,LC,42.8356205096254,-33.2753449836148,139.853654302635,40.9923295219126,0.822652918833292
6,6,0,LC,44.3155976506146,-31.5197719081638,145.317006189014,37.1812217322397,0.820083753168947
6,7,0,LC,45.0173607292238,-25.7328949683824,154.990475275574,-29.9302152898962,0.838370988221857
6,8,0,LC,46.5505721237317,-23.3689085497297,168.394738559488,-69.0923457775042,0.824379424144021
7,2,0,LC,374.605354020658,10.3932176804081,21.4592969755623,42.1416964193884,0.996539492422545
7,3,0,LC,529.702997493734,124.629593984962,111.112541353384,-101.062897243109,0.9941461486498
7,4,0,LC,42.5296677486003,-32.279245264606,142.009529615115,38.1986345242577,0.826646694869129
7,5,0,LC,43.8975682151534,-29.2675824822084,149.595223850612,5.11315623146831,0.836020188665405
7,6,0,LC,45.0586733813189,-25.8406481782593,157.974339585285,-30.4078807851224,0.840228948805862
7,7,0,LC,45.6811542675573,-19.860435808685,171.529941224179,-104.50095477618,0.843249517025665
7,8,0,LC,47.7201409322583,-19.0673128055734,174.473927141124,-109.625249316123,0.832254017940152
8,2,0,LC,423.689126581317,-28.4038341497641,26.3508574205918,75.5710116178319,0.997257460591197
8,3,0,LC,35.5561695550394,-8.06292301301846,150.427094022814,57.4629346779849,0.803950772599256
8,4,0,LC,36.4259317069502,-3.38127931521863,160.927582406103,17.6279953150124,0.816078464823069
8,5,0,LC,36.5257394135603,2.95835437556572,169.579718509224,-15.3703195767494,0.820519942945571
8,6,0,LC,36.5254172515661,10.541921295478,181.3925227169,-77.6583254429925,0.829178641599874
8,7,0,LC,37.643069931773,13.6524689316981,186.956792635889,-84.6609779308626,0.813387855309543
8,8,0,LC,38.4633969836581,18.2871483855066,191.47939162509,-109.326358627467,0.821425526645473
1,2,0,FF,-1.54864711788756,6.25666408657603,12.6508527739845,39.5195179465517,0.986225345409088
1,3,0,FF,-2.26563390645529,6.31082406045883,12.517852064954,42.7934144934527,0.986652099069441
1,4,0,FF,-3.04896729912691,6.3055624496336,12.3496684933049,46.2570291783232,0.979916749277857
1,5,0,FF,-3.92656131695945,6.49275884589644,12.3057162274421,47.8085361104814,0.973253005541425
1,6,0,FF,-4.71424612824276,6.69642740264846,12.1892282890294,49.0900390435408,0.959569710808145
1,7,0,FF,-5.44621962414223,6.91748363401583,12.190238517621,49.7186177163161,0.948652559427439
1,8,0,FF,-6.20354065298697,7.10100978977696,12.1188706442661,50.5250340435588,0.933861197368825
2,2,0,FF,2.53176578805431e-15,5,26,23,1
2,3,0,FF,4.34757976612303e-15,5,26,22.9999999999999,1
2,4,0,FF,-6.69226548885898e-16,5.00000000000001,26,23,1
2,5,0,FF,4.18293001619538e-15,5,26,23,1
2,6,0,FF,-8.60757810688396e-15,5,26,23.0000000000001,1
2,7,0,FF,7.62891481139282e-15,5.00000000000001,26,22.9999999999999,1
2,8,0,FF,1.61946809269284e-15,5.00000000000001,26,23,1
3,2,0,FF,-8.61210637081775e-16,5.00000000000001,39,23,1
3,3,0,FF,-4.36322179870146e-15,4.99999999999999,39,23.0000000000001,1
3,4,0,FF,-7.83097237177116e-15,4.99999999999999,39,23,1
3,5,0,FF,-3.12999174165407e-15,4.99999999999999,39,23,1
3,6,0,FF,4.27935274703934e-15,5,39,23,1
3,7,0,FF,2.34454793940335e-15,5,39,23,1
3,8,0,FF,-4.8806438467386e-15,5,39,23.0000000000001,1
4,2,0,FF,5.75802141193039e-15,5,52,22.9999999999999,1
4,3,0,FF,-8.13216361683928e-15,4.99999999999999,52,23.0000000000001,1
4,4,0,FF,-6.23789759284638e-15,5,52,23,1
4,5,0,FF,2.62709550650076e-15,5,52,23,1
4,6,0,FF,-1.18093989961304e-14,4.99999999999998,52,23.0000000000001,1
4,7,0,FF,-1.95318163241e-15,5,52,22.9999999999999,1
4,8,0,FF,1.00702520357888e-15,5,52,23,1
5,2,0,FF,-5.50744452446017e-15,5,65,23.0000000000001,1
5,3,0,FF,-2.70822318674949e-14,4.99999999999997,65,23.0000000000002,1
5,4,0,FF,9.48943797248386e-15,5.00000000000001,65,23,1
5,5,0,FF,3.11349071292994e-14,5.00000000000001,65,22.9999999999999,1
5,6,0,FF,-2.929772448615e-15,5,65,23,1
5,7,0,FF,-1.67837533929814e-15,5,65,23,1
5,8,0,FF,-2.08512300390292e-15,5,65,22.9999999999999,1
6,2,0,FF,1.73076813222985e-14,5.00000000000002,78,22.9999999999998,1
6,3,0,FF,5.25290783178251e-15,5.00000000000002,78,23,1
6,4,0,FF,2.09704980694455e-14,5.00000000000002,78,22.9999999999999,1
6,5,0,FF,3.96567134957583e-15,5,78,22.9999999999998,1
6,6,0,FF,6.04215122147329e-15,5,78,23,1
6,7,0,FF,3.82967412151418e-15,5,78,23,1
6,8,0,FF,-6.48213669115665e-15,4.99999999999999,78,23.0000000000001,1
7,2,0,FF,-2.36854086523535e-14,4.99999999999998,91,23.0000000000002,1
7,3,0,FF,3.66006257710858e-15,5.00000000000001,91,23,1
7,4,0,FF,-1.1245843234816e-14,5,91,23,1
7,5,0,FF,6.71927475488757e-15,5,91,22.9999999999999,1
7,6,0,FF,1.3926087714597e-15,5,91,23,1
7,7,0,FF,3.24967112777304e-15,5,91,22.9999999999999,1
7,8,0,FF,-7.60042697278286e-15,5,91,23,1
8,2,0,FF,-5.07231164610324e-15,4.99999999999997,104,23.0000000000001,1
8,3,0,FF,6.28809882083661e-15,5,104,23,1
8,4,0,FF,3.02367363969941e-15,5,104,22.9999999999999,1
8,5,0,FF,-3.13841162700044e-15,4.99999999999999,104,23.0000000000001,1
8,6,0,FF,-5.41794504289201e-15,4.99999999999999,104,23.0000000000001,1
8,7,0,FF,5.32149860909752e-15,5,104,23,1
8,8,0,FF,3.92609147329774e-15,5,104,23,1
1,-1,1,LC,-1.52826588882803,9.49758271122275,20.8520430527169,222.909043812052,0.950429723933256
1,-1,2,LC,-4.62202176361833,15.3890254570783,35.1727821762274,319.132223087464,0.917589838932134
1,-1,3,LC,-0.633980605508819,9.03921064721323,32.3995035288641,442.414028005011,0.768073081527242
1,-1,4,LC,-4.58255022683083,13.9524108878807,53.4761373946857,549.87440051847,0.893698207735899
1,-1,5,LC,-5.91184940123947,13.2960393271516,80.8784539397046,655.227132938819,0.988577022704365
1,-1,6,LC,-5.61737089201877,12.443661971831,80.0845070422535,772.323943661972,0.883302628289714
1,-1,7,LC,1.34435261707983,2.18575364029921,51.9132231404963,949.713498622589,0.981547581596903
1,-1,8,LC,-6.62812499999997,15.40625,106.275,974.05,0.977747270850265
2,-1,1,LC,0.628987682583609,5.55473010194179,41.4470660733628,186.533044348607,0.99881695406391
2,-1,2,LC,0.507421690043783,6.36294418392072,57.7283402256397,293.9153590549,0.994340973349907
2,-1,3,LC,0.0582605487475354,7.44397003156771,76.7876210265252,396.649222278873,0.996569791581867
2,-1,4,LC,1.82186484239413,2.74551439486969,88.7096287568398,529.365462769206,0.999009600233286
2,-1,5,LC,0,4.47626459143968,111.852140077821,636.533073929961,0.999272600652284
2,-1,6,LC,0,6.53935332907893,126.849393746012,729.489470325462,0.988104774991444
2,-1,7,LC,0,4.07142857142858,179,813,0.981030029923055
3,-1,1,LC,-0.148755913024844,8.30455804991161,78.02573670242,169.373965651222,0.982833021042329
3,-1,2,LC,1.37364771318862,6.92517057569597,95.1495931871687,310.122309380287,0.968700838569128
3,-1,3,LC,-1.30086439984637,14.7188268556349,160.499680105958,368.878939747677,0.992489033226194
3,-1,4,LC,1.11499868835259,2.35286594963264,195.439008394544,522.389165792236,0.99217939121997
3,-1,5,LC,0.707744152239997,6.07273688383774,217.125677282939,655.630104400687,0.994898950781741
3,-1,6,LC,1.13480846971701,5.13899204543132,266.979643051423,747.4894986944,0.985425112313594
3,-1,7,LC,0,2.14285714285718,345,858,0.999416809837225
3,-1,8,LC,0,35.2749999999999,271.9,815.1,0.998995035588667
4,-1,1,LC,0.454378143236449,5.87545387683159,81.7927475399381,182.893621768599,0.999017516238902
4,-1,2,LC,0.429133142716333,7.82679401848181,114.826905166726,282.856558364049,0.995910497891699
4,-1,3,LC,2.22511959474642,5.9921858556757,143.530906737312,386.846975978768,0.998594121628407
4,-1,4,LC,0.290466668210081,9.28522583893784,186.722470453414,471.32942272743,0.998157725234946
4,-1,5,LC,0.392923254405158,8.57007479310621,218.043396413117,582.964780387264,0.998197216100696
4,-1,6,LC,0,7.53571428571429,354.5,591.928571428572,0.99998938603746
4,-1,7,LC,0,3.38095238095234,322,780.666666666667,0.998119961268546
4,-1,8,LC,-0.253898131638691,9.2231425087894,327.60276717356,889.667934305586,0.996925936316226
5,-1,1,LC,-1.41977983633415,12.0894938860213,141.802358376118,113.991238573267,0.992852388976249
5,-1,2,LC,-0.543887225796368,10.3987034094843,204.500451785568,215.760436572505,0.981984726078895
5,-1,3,LC,1.36581103380867,5.4609728882616,232.77795657831,419.257229745117,0.993834599779044
5,-1,4,LC,3.03299523306127,2.60162657538875,267.344003599766,564.378057934222,0.997890839261465
5,-1,5,LC,4.84430751173708,4.89673317683882,243.141431924883,758.39534428795,0.978318431664931
5,-1,6,LC,-3.28025151608725,19.5100732954204,480.445056146859,562.94439402367,0.987998325930826
5,-1,7,LC,0,20.7755102040817,459.142857142857,750.428571428571,0.999911283806039
6,-1,1,LC,-0.251799677152121,7.91657133315909,139.969939039797,169.899936791067,0.996719819393654
6,-1,2,LC,-0.475781630401343,9.21577786766909,212.18447837568,254.841008954437,0.996603906824535
6,-1,3,LC,-0.156531417485015,10.0102673541031,258.313928300262,395.556478033195,0.998414811887811
6,-1,4,LC,1.5310543717666,3.24590395339005,307.844828949311,554.739716137783,0.997685685261597
6,-1,5,LC,0.418231077668023,10.9325823370193,369.137523797566,611.311792977206,0.989384463923983
6,-1,6,LC,-2.15479253036233,14.4401317867942,481.871804460377,641.382375128144,0.998370788627207
6,-1,7,LC,-102.71428571429,182.000000000006,1800.00000000005,-971.000000000068,0.999996843454271
6,-1,8,LC,-0.260401049475253,6.51605837706143,586.491191904048,940.987631184409,0.988903620873299
7,-1,1,LC,-2.14257562857685,14.6059799691941,194.342838353722,64.2678647448222,0.985531192774075
7,-1,2,LC,-2.94574688026069,17.4734210871651,290.444601180129,121.454661977051,0.968793751365581
7,-1,3,LC,-4.07639903696676,21.521588936663,382.476088405509,201.672361586007,0.96402080205739
7,-1,4,LC,2.0726030168834,4.22582334056027,374.655275513751,523.316593574419,0.982602370662303
7,-1,5,LC,1.39729518225536,5.88152103599081,445.905459181819,731.321241323335,0.997571830436966
7,-1,6,LC,-3.35128946734152,16.3123945529043,628.428018799711,582.402819956616,0.996538010171191
7,-1,7,LC,-6.10439560439564,42.0439560439562,659.564102564103,624.948717948716,0.999083859757143
7,-1,8,LC,0.398401333856404,6.79747940368775,727.147665751275,910.000078462142,0.988682146387871
8,-1,1,LC,0.441963127538438,5.41776095462583,160.264337321396,190.449858783015,0.999541176231497
8,-1,2,LC,0.657359265275499,5.41375311617946,223.856294410964,311.424230124364,0.997709127467194
8,-1,3,LC,-0.636916411685799,10.8661435944054,296.641445736082,377.986768536275,0.997422240761792
8,-1,4,LC,1.52700970393801,1.4604699278549,345.006918531547,561.678933249332,0.998724477626871
8,-1,5,LC,0.462045883420794,7.60014239964922,425.174967166124,570.179685819249,0.998747332918322
8,-1,6,LC,-0.896198830409415,12.5804093567254,520.631578947369,578.157894736839,0.996711320808385
8,-1,7,LC,1.80414746543784,-1.94930875576056,504.435483870967,1051.25806451613,0.999851960250799
8,-1,8,LC,0.67525337837837,3.70312500000002,622.290540540541,935.618243243243,0.999363776707792
